Indeks;Första år;Sista år;Finsk släkt;Förnamn;Efternamn;Släktbelägg;Ort;Nuv. Socken;Län;Arkivkälla;Källspecifikation;2:a källa;Uppg.-lämn;Kommentarer;;
49;1749;;Ampiainen;Mats;;Ambo;Laggsundet;Rämmen;W;ULA:Äppelbo TL;domb 749;;JEB;;;
50;1770;;Ampiainen;Johan;;Ampian;Skullerud;Austmarka;No;SAH:Vinger KB;fb 770;;JM;;;
51;1788;;Ampiainen;Eli;Johansdatter;Ambian;Svensrud;Austmarka;No;SAH:Vinger KB;fb 788;;JM;;;
52;1821;;Ampiainen;;;Ampiainen;Rosastorp;Östmark;S;FRA:SHS;Gottlund VII:9:8;Gtl4:86;; ;;
53;1821;;Ampiainen;;;Ampiainen;Skråckarberget;S Finnskoga;S;FRA:SHS;Gottlund VII:9:8;Gtl4:73;;;;
54;1822;;Ampiainen;Per;Olsen;Ampiainen;Slettmoen;Brandval Finnskog;No;SKS;Gottlundiana, fullmakt;Fk 08:3;;;;
55;1600-t;;Ampiainen;;;Ampiainen;Mörtnäs;Nås;W;SKS;Gottlundiana;Gtl1:353;;;;
56;1706;1723;Arpiainen;Per;;Arpiain;Humsjön;Mangskog;S;VA:Mangskog KB;kyrä 706,fb 708,kyrä 720;;JM;;;
57;1713; ;Arpiainen;Per ; ;Arbian;Humsjön;Mangskog;S;VA:Jösse HR;domb v713;;JM;;;
58;1718;1719;Arpiainen;Pål;;Harbian;S Västerrottna;Gräsmark;S;VA:Fryksdal HR;domb h718; ;JM;;;
59;1718;;Arpiainen;Pål;;Harbian;; ;S;SRA:LR:Sunne;sak 718;;JEB;;;
60;1719;;Arpiainen;Pål;;Arbian;S Västerrottna;Gräsmark;S;VA:Fryksdal HR;domb v719; ;JM;;;
61;1722; ;Arpiainen;Per ;Mickelsson;Arbian;Humsjön;Mangskog;S;VA:Jösse HR;domb v722;;JM;;;
62;1723; ;Arpiainen;Per;;Arpian; ;Mangskog;S;VA:Mangskog KB;kyrä 723;;JM;;;
63;1700-t;;Arpiainen;Per;Pålsson;Arpiainen;Arpiaisentorppa;Gräsmark;S;SKS;Gottlundiana;Gtl2:145;;;;
64;1821;;Eskoinen;Per;Persson;Eskoinen;Mangstrand;Vitsand;S;SKS;Gottlundiana;Gtl2:340;;;;
65;1821;;Eskoinen;Karin;Nilsdotter;Eskoinen;Digerberget;Nyskoga;S;SKS;Gottlundiana;Gtl2:321;;;;
66;1821;;Eskoinen;;;Eskoinen;Digerberget;Nyskoga;S;FRA:SHS;Gottlund VII:9:8;Gtl4:158;;;;
67;1821;;Eskoinen;;;Eskoinen;Mangstrand;Vitsand;S;FRA:SHS;Gottlund VII:9:8;Gtl4:148;;;;
68;1821;;Eskoinen;;;Eskoinen;Tjärnberget;Nyskoga;S;FRA:SHS;Gottlund VII:9:8;Gtl4:159;;;;
69;1664;1670;Haikoinen;Mårten;;Hake;Bredsjöberget;Malung;W;ULA:Malung TL;domb v664,v665;;JEB;;;
70;1665;;Haikoinen;Mårten;;Haacke;;Malung;S;SRA:LR:Malung;restlängd tionde 665;;JEB;;;
71;1671;1674;Haikoinen;Henrik;;Haijken;;Lekvattnet;S;VA:Fryksdal HR;domb v671; ;JEB;;;
72;1674;;Haikoinen;Henrik;;Haiken;Bredsjön;Lekvattnet;S;VA:Fryksdal HR;domb v674; ;JEB;;;
73;1767;;Haikoinen;Staffan;Tomasson;Heikanen;Lövhöjden;Lekvattnet;S;SKS;Gottlundiana;Gtl2:167;;;;
74;1821;;Haikoinen;;;Haikoinen;Bredsjön;Lekvattnet;S;FRA:SHS;Gottlund VII:9:8;Gtl4:133f;;;;
75;1821;;Haikoinen;;;Haikoinen;Kvarnberg;Lekvattnet;S;FRA:SHS;Gottlund VII:9:8;Gtl4:130;;;;
76;1821;;Haikoinen;;;Haikoinen;Kösstorp;Bogen;S;FRA:SHS;Gottlund VII:9:8;Gtl4:193;;;;
77;1821;;Haikoinen;;;Haikoinen;Långtjärn;Gräsmark;S;FRA:SHS;Gottlund VII:9:8;Gtl4:172;;;;
78;1821;;Haikoinen;;;Haikoinen;N Lekvattnet;Lekvattnet;S;FRA:SHS;Gottlund VII:9:8;Gtl4:138;;;;
79;1821;;Haikoinen;;;Haikoinen;Ormhöjden;Lekvattnet;S;FRA:SHS;Gottlund VII:9:8;Gtl4:132;;;;
80;1821;;Haikoinen;;;Haikoinen;Rörkullen;Lekvattnet;S;FRA:SHS;Gottlund VII:9:8;Gtl4:144;;;;
81;1821;;Haikoinen;;;Haikoinen;Tiskaretjärn;Gräsmark;S;FRA:SHS;Gottlund VII:9:8;Gtl4:184;;;;
82;1821;;Haikoinen;;;Haikoinen;Varaldskogen;Austmarka;No;FRA:SHS;Gottlund VII:9:8;Gtl4:169f;;;;
83;1600-t;;Haikoinen;Henrik;;Haikoinen; ; ;S;SKS;Gottlundiana;Gtl2:163;;;;
84;1628;1657;Hakkarainen;Per;;Hackareitan;;Nås;W;KrA:Nås;ro 628-629;;JEB;;;
85;1633;;Hakkarainen;Per;;Hackare;Hån;Nås;W;KrA:Nås;rr 723,633:4;;JEB;;;
86;1640;1641;Hakkarainen;Bertil;Eskilsson;Hackreij;;Ljusnarsberg;T;KrA:Ljusnarsberg;ro 640:208;;JEB;;;
87;1640;;Hakkarainen;Bertil;Eskilsson;Hackare;;Ljusnarsberg;T;KrA:Ljusnarsberg;ro 640:208;;JEB;;;
88;1640;;Hakkarainen;Bertil;Eskilsson;Hackreij;Nya Kopparberget;Ljusnarsberg;T;SRA:LR:Nya Koppb;mtl 640;;LOH;;;
89;1641;;Hakkarainen;Bertil;Eskilsson;Hackare;Nya Kopparberget;Ljusnarsberg;T;SRA:LR:Nya Koppb;mtl 641;;LOH;;;
90;1645;;Hakkarainen;Per;;Hake;Nain;Gustav Adolf;S;KrA:Ekshärad;ro 645:248-249;;JEB;;;
91;1649;;Hakkarainen;Henrik;;Hackareinen;;Ljusnarsberg;T;ULA:Ljusnarsberg KB;db 649;;JM,LOH,MF;;;
92;1655;;Hakkarainen;Per;;Hacke;Nain;Gustav Adolf;S;SRA:LR:Ekshärad;mtl 655,656;;JM/NP;;;
93;1656;;Hakkarainen;Per;;Hacke;Nain;Gustav Adolf;S;KrA:Ekshärad;ro 656:5;;JEB;;;
94;1657;;Hakkarainen;Per;;Haake;Nain;Gustav Adolf;S;SRA:LR:Ekshärad;mtl 657; ;JM/NP;;;
95;1662;1664;Hakkarainen;Mårten;;Hake;;;W;ULA:Malung TL;domb v662;LB;;;;
96;1664;;Hakkarainen;Mårten;;Hake;Bredsjöberget;Malung;W;ULA:Malung TL;domb v664,v665;;JEB,LOH;;;
97;1684;1707;Hakkarainen;Bengt;Larsson;Hackare;Aspberget;N Finnskoga;S;VA:Älvdal HR;domb v684,h703,h707;;JEB;;;
98;1686;;Hakkarainen;Berte;Larsdatter;Hocher;Gravberget;Våler Finnskog;No;NRA:DK;finnemtl 686;Fm:110;;;;
99;1686;;Hakkarainen;Ola;Josefsen;Hackran;Gravberget;Våler Finnskog;No;NRA:DK;finnemtl 686;Fm:111;;;;
100;1686;1700;Hakkarainen;Pål;Larsen;Hoker;Galåsen;Trysil;No;NRA:DK;finnemtl 686;Fm:111;;;;
101;1686; ;Hakkarainen;Pål;Larsen;Hacher;Galåsen;Trysil;No;SAH:SØSS;tb 686;;JM;;;
102;1687;1706;Hakkarainen;Henrik;;Hackarn;Aspberget;N Finnskoga;S;SRA:LR:Dalby;mtl 687,688;;JM/NP;;;
103;1689; ;Hakkarainen;Henrik;;Hakran;Aspberget;N Finnskoga;S;SRA:LR:Dalby;mtl 689;;JM/NP;;;
104;1690; ;Hakkarainen;Henrik;;Hackare;Aspberget;N Finnskoga;S;SRA:LR:Dalby;mtl 690;;JM/NP;;;
105;1690; ;Hakkarainen;Mårten;;Hackare;Aspberget;N Finnskoga;S;VA:Älvdal HR;domb h690;;JEB;;;
106;1691; ;Hakkarainen;Per;;Hackare;;;S;VA:Älvdal HR;domb v691,h707;;JEB;;;
107;1692; ;Hakkarainen;Henrik;Larsson;Hacken;Aspberget;N Finnskoga;S;SRA:LR:Dalby;mtl 692;;JM/NP;;;
108;1692; ;Hakkarainen;Nils;;Hakra;Korslången;Ramsberg;T;ULA:Ramsberg KB ;vb 692;;LOH;;;
109;1692;1693;Hakkarainen;Lars;;Hacken;Aspberget;N Finnskoga;S;SRA:LR:Dalby;mtl 692;;JM/NP;;;
110;1693;;Hakkarainen;Pål;Larsson;Hackare;Aspberget;N Finnskoga;S;VA:Älvdal HR;domb v693;;JEB,JM;;;
111;1693;;Hakkarainen;Pål;;Hackare;Aspberget;N Finnskoga;S;SRA:LR:Dalby;mtl 693,694,699; ;JM/NP;;;
112;1693; ;Hakkarainen;Henrik;;Hackare;Aspberget;N Finnskoga;S;SRA:LR:Dalby;mtl 693; ;JM/NP;;;
113;1693;;Hakkarainen;Lars;;Hackare;Aspberget;N Finnskoga;S;VA:Älvdal HR;domb v693;;JEB;;;
114;1695;;Hakkarainen;Pål;;Hackar;Aspberget;N Finnskoga;S;SRA:LR:Dalby;mtl 695;;JM/NP;;;
115;1695;;Hakkarainen;Pål;;Hakare;Aspberget;N Finnskoga;S;SRA:LR:Dalby;lagml 695,696;;JEB;;;
116;1696;;Hakkarainen;Pål;;Hackare;Aspberget;N Finnskoga;S;VA:Älvdal HR;domb v696,h696,h697;;JEB;;;
117;1697;;Hakkarainen;Pål;;Hackare;Aspberget;N Finnskoga;S;SRA:LR:Dalby;lagml 697,698;;JEB;;;
118;1698;;Hakkarainen;Pål;;Hakare;Aspberget;N Finnskoga;S;SRA:LR:Dalby;mtl 698;;JM/NP;;;
119;1700;;Hakkarainen;Pål;Larsen;Hachan;Aspberget;N Finnskoga;S;SAH:SØSS;tb 700;;JM;;;
120;1701;;Hakkarainen;Bengt;;Hackare;Aspberget;N Finnskoga;S;SRA:LR:Dalby;mtl 701;;JM/NP;;;
121;1702;;Hakkarainen;Bengt;;Hackarn;Aspberget;N Finnskoga;S;SRA:LR:Dalby;mtl 702,703,704;;JM/NP;;;
122;1706;;Hakkarainen;Henrik;Larsson;Hackare;Aspberget;N Finnskoga;S;VA:Dalby KB;sock 706;;JM;;;
123;1733; ;Hakkarainen;Henrik;;Hakkar;; ;No;SAH:Hof KB;db 733;;JM;;;
124;1739; ;Hakkarainen;Josef;Josefsson;Hack:;Aspberget;N Finnskoga;S;VA:Dalby KB;hfl 739;;JM,NP;;;
125;1749;;Hakkarainen;Lars;Eriksson;Hackaran;Fiskhushöjden;Filipstad;S;VA:Färnebo HR;domb 749;;MF;;;
126;1821;;Hakkarainen;Anna; ;Hakkarainen;Honkamakk;Gräsmark;S;SKS;Gottlundiana;Gtl2:110;;;;
127;1821;;Hakkarainen;;;Hakkarainen;Aspberget;N Finnskoga;S;FRA:SHS;Gottlund VII:9:8;Gtl4:40f;;;;
128;1821;;Hakkarainen;;;Hakkarainen;Høgsjøberget;Åsnes Finnskog;No;FRA:SHS;Gottlund VII:9:8;Gtl4:204;;;;
129;1821;;Hakkarainen;;;Hakkarainen;Höljes;N Finnskoga;S;FRA:SHS;Gottlund VII:9:8;Gtl4:48;;;;
130;1821;;Hakkarainen;;;Hakkarainen;Långnäs;Gräsmark;S;FRA:SHS;Gottlund VII:9:8;Gtl4:180;;;;
131;1821;;Hakkarainen;;;Hakkarainen;N Gravberget;Våler Finnskog;No;FRA:SHS;Gottlund VII:9:8;Gtl4:209;;;;
132;1821;;Hakkarainen;;;Hakkarainen;Slettmoen;Våler Finnskog;No;FRA:SHS;Gottlund VII:9:8;Gtl4:207;;;;
133;1821;;Hakkarainen;;;Hakkarainen;Timbonässkogen;Gräsmark;S;FRA:SHS;Gottlund VII:9:8;Gtl4:174;;;;
