Indeks;Första år;Sista år;Finsk släkt;Förnamn;Efternamn;Släktbelägg;Ort;Nuv. Socken;Län;Arkivkälla;Källspecifikation;2:a källa;Uppg.-lämn;Kommentarer;;
1317;1645;1652;Karttuinen;Erik;;Kart;;Östmark;S;SRA:LR:Fryksände;til 645,mtl 646,647,649,652;B; ;;;
1318;1646;;Karttuinen;Erik;;Kart;Röjdån;Östmark;S;SRA:LR:Fryksände;til 646;B; ;;;
1319;1648;;Karttuinen;Erik;;Kart;Röjdåsen;Östmark;S;SRA:LR:Fryksände;mtl 648,650,651, til 648;;JM/NP,JEB;;;
1320;1648;1666;Karttuinen;Pål;;Kart;;Östmark;S;SRA:LR:Fryksände;til 648,649,651;B; ;;;
1321;1649;;Karttuinen;Pål;Pålsson;Kart;Tväråna;Östmark;S;VA:Fryksdal HR;domb v649; ;JEB;;;
1322;1651;;Karttuinen;Pål;Pålsson;Kart;Sörmarks skog;Östmark;S;VA:Fryksdal HR;domb h651; ;JEB;;;
1323;1651;1681;Karttuinen;Olof;Eriksson;Kart;;;S;VA:Fryksdal HR;domb v651; ;JEB;;;
1324;1653;;Karttuinen;Pål;;Kart;Sörmarks ägor;Östmark;S;SRA:LR:Fryksände;mtl 653;;JEB,JM/NP;;;
1325;1654;;Karttuinen;Pål;;Kart;Tväråna;Östmark;S;SRA:LR:Fryksände;til 654,664;;JEB;;;
1326;1654;;Karttuinen;Pål;;Kart;Tväråna;Östmark;S;SRA:LR:Fryksände;mtl 654-57,59,62,63,64;;JM/NP;;;
1327;1658;;Karttuinen;Pål;;Cort;Tväråna;Östmark;S;SRA:LR:Fryksände;mtl 658; ;JM/NP;;;
1328;1658;;Karttuinen;Pål;;Kart;Tväråna;Östmark;S;SRA:LR:Fryksände;til 658;;JEB;;;
1329;1660;;Karttuinen;Olof;;Kart;Spettungen;Lekvattnet;S;SRA:LR:Fryksände;til 660;;JEB;;;
1330;1660;1662;Karttuinen;Per;;Kart;Spettungen;Lekvattnet;S;SRA:LR:Fryksände;til 660;;JEB;;;
1331;1662;;Karttuinen;Per;;Karten;Spettungen;Lekvattnet;S;SRA:LR:Fryksände;til 662;;JEB;;;
1332;1666;;Karttuinen;Pål;;Kort;;;S;VA:Fryksdal HR;domb h666; ;JEB;;;
1333;1666;;Karttuinen;Olof;;Kart;Spettungen;Lekvattnet;S;SRA:LR:Fryksände;til 666;;JEB;;;
1334;1670;;Karttuinen;Olof;Eriksson;Kart;Spettungen;Lekvattnet;S;SRA:LR:Fryksände;mtl 670; ;JM/NP;;;
1335;1671;;Karttuinen;Olof;;Karten;Spettungen;Lekvattnet;S;VA:Fryksdal HR;domb v671; ;JEB;;;
1336;1672;;Karttuinen;Olof;;Karten;Spettungen;Lekvattnet;S;SRA:LR:Fryksände;til 672;;JEB;;;
1337;1673;;Karttuinen;Olof;Larsson;Kart;Bredsjön;Lekvattnet;S;SRA:LR:Fryksände;mtl 673;;JM/NP;;;
1338;1681;;Karttuinen;Olof;Eriksson;Kart;;;S;VA:Fryksdal HR;domb v681; ;JM;;;
1339;1682;1719;Karttuinen;Erik;;Kortan;Flåsjön;Gustav Adolf;S;SRA:LR:Ekshärad;mtl 682,83,84,86,88,98-04; ;JM/NP;;;
1340;1684;;Karttuinen;Erik;;Kortan;Flåsjön;Gustav Adolf;S;SRA:LR:Ekshärad;mtl 684;;LOH;;;
1341;1684;;Karttuinen;Erik;;Kortan;Flåsjön;Gustav Adolf;S;VA:Älvdal HR ;domb 691;;LOH;;;
1342;1686;;Karttuinen;Marit;Eriksdatter;Karten;Gravberget;Våler Finnskog;No;NRA:DK;finnemtl 686;Fm:112;;;;
1343;1686;;Karttuinen;Olof;Eriksson;Cortan;Krabbsjön;Grangärde;W;ULA:Grangärde KB;hfl 686;;LOH; ;;
1344;1689;;Karttuinen;Johan;;Kardus;; ;No;SAH:Vinger KB;fb 689;;JM;;;
1345;1689;;Karttuinen;Johan;;Cardus;; ;No;SAH:Vinger KB;intr. 689;;JM;;;
1346;1689;1697;Karttuinen;Olof;;Kart;Sundsjön;Gustav Adolf;S;VA:Älvdal HR;domb h689;;JEB;;;
1347;1690;;Karttuinen;Erik;;Kortan;;;S;VA:Älvdal HR;domb h690;;JEB;;;
1348;1690; ;Karttuinen;Erik;;Cortan;Flåsjön;Gustav Adolf;S;SRA:LR:Ekshärad;mtl 690-697,706,713;;JM/NP;;;
1349;1691;;Karttuinen;Erik;;Cortan;Flåsjön;Gustav Adolf;S;SRA:LR:Ekshärad;lagml 691;;JEB;;;
1350;1691;;Karttuinen;Erik;;Kortan;Flåsjön;Gustav Adolf;S;VA:Älvdal HR;domb v691,v706;;JEB;;;
1351;1691;;Karttuinen;Erik;;Cortan;;;S;VA:Älvdal HR;bou 691;;MF,JM; ;;
1352;1691;;Karttuinen;Olof;;Kortan;Sundsjön;Gustav Adolf;S;VA:Älvdal HR;bou 691;;MF,JM; ;;
1353;1693;;Karttuinen;Olof;;Kart;Basthöjden;Nordmark;S;VA:Älvdal HR;domb v693;;JEB,JM;;;
1354;1695;;Karttuinen;Erik;;Kårtan;Flåsjön;Gustav Adolf;S;SRA:LR:Ekshärad;lagml 693,695;;JEB;;;
1355;1696;;Karttuinen;Erik;;Kortan;Flåsjön;Gustav Adolf;S;SRA:LR:Ekshärad;lagml 696,697;;JEB;;;
1356;1697;;Karttuinen;Olof;;Kortan;Pullingtorp;Rämmen;S;SRA:LR:Färnebo;mtl 697;;MF; ;;
1357;1697;1704;Karttuinen;Per;;Kart;;;S;VA:Fryksdal HR;domb v697; ;JM;;;
1358;1697;;Karttuinen;Per;Persson;Kart;;;S;VA:Fryksdal HR;domb v697; ;JM;;;
1359;1699;;Karttuinen;Erik;;Kart;;Gräsmark;S;VA:Gräsmark KB;db 699;;JEB,JM;;;
1360;1702;1727;Karttuinen;Olof;Persson;Kart;Vittjärn;Lekvattnet;S;VA:Fryksdal HR;domb h702,v705,v706; ;JM;;;
1361;1704;;Karttuinen;Erik;;Kårtan;Flåsjön;Gustav Adolf;S;VA:Älvdal HR;domb h704,h711;;JEB;;;
1362;1704;;Karttuinen;Erik;;Karten;Flåsjön;Gustav Adolf;S;VA:Färnebo HR;domb 704;;JEB;;;
1363;1704;;Karttuinen;Per;;Karten;Långnässkogen;Gräsmark;S;VA:Gräsmark KB;db 704;;JEB,JM;;;
1364;1707;;Karttuinen;Erik;;Kårtan;Basthöjden;Nordmark;S;VA:Färnebo HR;domb 707;;LOH;;;
1365;1709;1719;Karttuinen;Henrik;;Kort;Motjärnshyttan;Nordmark;S;VA:Älvdal HR;domb v709;;JEB;;;
1366;1709;1730;Karttuinen;Johan;;Kartt;S Lekvattnet;Lekvattnet;S;SRA:LR:Fryksände;mtl 709,710;;JM/NP;;;
1367;1710;;Karttuinen;Olof;;Kartt;; ;S;VA:Fryksände KB;fb 710;;JEB,NP;;;
1368;1711;;Karttuinen;Erik;;Kortan;Flåsjön;Gustav Adolf;S;SRA:LR:Ekshärad;mtl 711,714,715,718,719; ;JM/NP;;;
1369;1711;;Karttuinen;Erik;;Kårtan;Flåsjön;Gustav Adolf;S;VA:Färnebo HR;domb 711;;JEB;;;
1370;1711;;Karttuinen;Olof;;Kartt;Vittjärn;Lekvattnet;S;VA:Fryksände KB;hfl 711-19,fb 713,718;;JEB,JM,NP;;;
1371;1711; ;Karttuinen;Johan;;Kart;S Lekvattnet;Lekvattnet;S;SRA:LR:Fryksände;mtl 711-16,718-20,725; ;JM/NP;;;
1372;1711;;Karttuinen;Johan;;Kartt;Önnebyskogen;Lekvattnet;S;VA:Fryksände KB;hfl 711-19,fb 714,717,721;;JEB,JM,NP;;;
1373;1711;1721;Karttuinen;Erik;;Kart;Lekvattnet;Lekvattnet;S;VA:Fryksdal HR;domb h711; ;JM;;;
1374;1711;;Karttuinen;Erik;;Kart;N Lekvattnet;Lekvattnet;S;VA:Fryksände KB;hfl 71-;;JEB,JM,NP;;;
1375;1711;;Karttuinen;Karin;;Kartt;; ;S;VA:Fryksände KB;fb 711;;JEB,NP;;;
1376;1712;;Karttuinen;Erik;;Kartt;; ;S;VA:Fryksände KB;fb 712;;JEB,JM,NP;;;
1377;1713;;Karttuinen;Olof;;Kart;Vittjärn;Lekvattnet;S;SRA:LR:Fryksände;til 713,715,718,lagml718;;JEB;;;
1378;1713;;Karttuinen;Johan;;Kart;S Lekvattnet;Lekvattnet;S;SRA:LR:Fryksände;til 713,sak 715;;JEB;;;
1379;1713;1744;Karttuinen;Mats;;Kartt;Röjdåsen;Östmark;S;VA:Fryksände KB;fb 713,714;;JEB,JM,NP;;;
1380;1714;;Karttuinen;Olof;;Kart;Vittjärn;Lekvattnet;S;SRA:LR:Fryksände;til 714;;GB;;;
1381;1714;;Karttuinen;Johan;;Kart;S Lekvattnet;Lekvattnet;S;SRA:LR:Fryksände;til 714,724,725,727;;GB;;;
1382;1714;;Karttuinen;Erik;;Kart;N Lekvattnet;Lekvattnet;S;SRA:LR:Fryksände;til 714;;GB;;;
1383;1715;;Karttuinen;Erik;Eriksson;Karten;Flåsjön;Gustav Adolf;S;VA:Älvdal HR;domb v715;;JEB;;;
1384;1715;;Karttuinen;Erik;;Kartan;Flåsjön;Gustav Adolf;S;ULA:ÖLA;kontrib 715;;JEB;;;
1385;1715;;Karttuinen;Olof;;Kart;Vittjärn;Lekvattnet;S;ULA:ÖLA;kontrib 715;;JEB;;;
1386;1715;;Karttuinen;Olof;;Karttn;; ;S;VA:Fryksände KB;fb 715;;JEB,NP;;;
1387;1715;;Karttuinen;Henrik;;Kartan;Flåsjön;Gustav Adolf;S;ULA:ÖLA;kontrib 715;;JEB;;;
1388;1715;;Karttuinen;Johan;;Kart;S Lekvattnet;Lekvattnet;S;ULA:ÖLA;kontrib 715;;JEB;;;
1389;1715;;Karttuinen;Johan;;Kart;Lekvattnet;Lekvattnet;S;VA:Fryksände KB;fb 715;;JEB,NP;;;
1390;1715;;Karttuinen;Erik;;Kart;N Lekvattnet;Lekvattnet;S;SRA:LR:Fryksände;til 715,718,lagml 718;;JEB;;;
1391;1715;;Karttuinen;Erik;;Kart;N Lekvattnet;Lekvattnet;S;ULA:ÖLA;kontrib 715;;JEB;;;
1392;1715;;Karttuinen;Erik;;Kartt;Lekvattnet;Lekvattnet;S;VA:Fryksände KB;fb 715,716;;JEB,NP;;;
1393;1717;;Karttuinen;Mats;;Kartt;; ;S;VA:Fryksände KB;fb 716,718,727;;JEB,NP;;;
1394;1719;;Karttuinen;Erik;;Kortan;Trindtjärn;Norra Råda;S;VA:Älvdal HR;domb v719;;JEB;;;
1395;1719;;Karttuinen;Henrik;;Kart;Grossmossen;Norra Råda;S;VA:Älvdal HR;domb v719;;JEB;;;
1396;1719;1770;Karttuinen;Erik;;Kart;Kyrkskogen;Bogen;S;VA:Eda KB;fb 719;;JM;;;
1397;1720;;Karttuinen;Olof;;Kartt;; ;S;VA:Fryksände KB;fb 720;;JEB,NP;;;
1398;1720;;Karttuinen;Johan;;Kart;S Lekvattnet;Lekvattnet;S;SRA:LR:Fryksände;bevilln 720;;JEB;;;
1399;1721;;Karttuinen;Olof;;Kart;Vittjärn;Lekvattnet;S;VA:Fryksände KB;kyrä 721,726,727;;JEB;;;
1400;1721;;Karttuinen;Johan;;Kart;Önnebyskogen;Lekvattnet;S;VA:Fryksände KB;kyrä 721,723;;JEB;;;
1401;1721;;Karttuinen;Erik;;Kart;;;S;VA:Fryksände KB;kyrä 721;;JEB;;;
1402;1721;1740;Karttuinen;Lars;;Kartt;;;S;VA:Fryksände KB;fb 721,728;;JEB,NP;;;
1403;1722; ;Karttuinen;Erik;;Kaartten;Kyrkskogen;Bogen;S;VA:Eda KB;fb 722;;JM;;;
1404;1722;1727;Karttuinen;Per;;Karth;Øyern;Brandval Finnskog;No;SAH:SØSS;tb 722;;JM; ;;
1405;1723;;Karttuinen;Lars;;Kart;Spettungen;Lekvattnet;S;VA:Fryksände KB;kyrä 723,724,726,729-31;;JEB;;;
1406;1724;;Karttuinen;Johan;;Karttn;Lekvattnet;Lekvattnet;S;VA:Fryksände KB;fb 724;;JEB,NP;;;
1407;1724;;Karttuinen;Johan;;Karttuinen;S Lekvattnet;Lekvattnet;S;SKS;Gottlundiana;Gtl2:159;;;;
1408;1724; ;Karttuinen;Mats;;Kart;Vittjärn;Lekvattnet;S;SRA:LR:Fryksände;til 724,725,727;;GB;;;
1409;1724;;Karttuinen;Erik;;Kartt;Kyrkskogen;Bogen;S;VA:Eda KB;fb 724;;JM;;;
1410;1725;;Karttuinen;Olof;;Kartt;;;S;VA:Fryksände KB;kyrä 725;;JEB;;;
1411;1726;;Karttuinen;Johan;;Kart;;;S;VA:Fryksände KB;kyrä 726,727,728,729;;JEB;;;
1412;1727;;Karttuinen;Johan;;Kart;Karttorp;Lekvattnet;S;SRA:LR:Fryksände;mtl 727,729;B;JEB; ;;
1413;1727;;Karttuinen;Per;Olsen;Kart;Grasberget;Brandval Finnskog;No;SAH:Grue KB;db 727;;JM;;;
1414;1729;;Karttuinen;Annika;;Kartt;;;S;VA:Fryksände KB;kyrä 729;;JEB;;;
1415;1730;;Karttuinen;Johan;Persson;Kartt;Lekvattnet;Lekvattnet;S;VA:Fryksände KB;db 730;;JEB;;;
1416;1732;;Karttuinen;Lars;;Cart;Spettungen;Lekvattnet;S;VA:Fryksände KB;kyrä 732;;JEB;;;
1417;1733;;Karttuinen;Lars;;Kartt;Önnebyskogen;Lekvattnet;S;VA:Fryksände KB;kyrä 733;;JEB;;;
1418;1733;;Karttuinen;Halsten;;Kartt;;Lekvattnet;S;VA:Fryksände KB;fb 733;;JEB,NP;;;
1419;1734;;Karttuinen;Margareta;Persdatter;Kart;Mølledal;Eidsvoll;No;SAO:AS;svensker i Norge 734; ;JM;;;
1420;1735;;Karttuinen;Mats;;Kart;Vittjärn;Lekvattnet;S;VA:Fryksände KB;fb 735,hfl 741-;;JEB,JM,NP;;;
1421;1736;;Karttuinen;Lars;;Kartt;Spettungen;Lekvattnet;S;VA:Fryksände KB;kyrä 736;;JEB;;;
1422;1740;;Karttuinen;Lars;Persson;Kart;S Lekvattnet;Lekvattnet;S;VA:Fryksdal HR;domb h740;A;;;;
1423;1741;;Karttuinen;Mats;;Kart;;;S;VA:Fryksände KB;fb 741;;JEB,NP;;;
1424;1743; ;Karttuinen;Mats;Olsson;Kart;Vittjärn;Lekvattnet;S;VA:Fryksände KB;db 743;;NP;;;
1425;1744;;Karttuinen;Mats; ;Kart;Vittjärn;Lekvattnet;S;VA:Fryksdal HR;bou 744;;JEB;;;
1426;1748;;Karttuinen;Erik;Mattsson;Kartt;Bredsjöskogen;Lekvattnet;S;VA:Fryksände KB;fb 748;;NP;;;
1427;1748;;Karttuinen;Erik;Matsson;Kartt;Vittjärn;Lekvattnet;S;VA:Fryksände KB;fb 748;;JEB;;;
1428;1750;;Karttuinen;Henrik;Larsson;Kartt;;S Finnskoga;S;VA:Dalby KB;vb 750;;JEB,JM;;;
1429;1750;;Karttuinen;Henrik;;Kartt;;S Finnskoga;S;VA:Dalby KB;db 750;;JEB,JM;;;
1430;1752;;Karttuinen;Anna ;;Kart;Vittjärn;Lekvattnet;S;VA:Fryksände KB;hfl 752-56;;NP;;;
1431;1770;;Karttuinen;Erik;Olsson;Kart;Kyrkskogen;Bogen;S;VA:Eda KB;db 770;;JM;;;
1432;1821;;Karttuinen;Per;Hallstensson;Karttuinen;Runnsjötorp;Östmark;S;SKS;Gottlundiana;Gtl2:201;;;;
1433;1821;;Karttuinen;Per;;Karttuinen;Sorktjärn;Östmark;S;SKS;Gottlundiana;Gtl2:207;;;;
1434;1821;;Karttuinen;Jöns;Jönsson;Karttuinen;Runnsjötorp;Östmark;S;SKS;Gottlundiana;Gtl2:200;;;;
1435;1821;;Karttuinen;;;Karttuinen;Arnsjön;Östmark;S;FRA:SHS;Gottlund VII:9:8;Gtl4:84;;;;
1436;1821;;Karttuinen;;;Kartuinen;Axland;Bogen;S;FRA:SHS;Gottlund VII:9:8;Gtl4:196;;;;
1437;1821;;Karttuinen;;;Karttuinen;Bogen;Bogen;S;FRA:SHS;Gottlund VII:9:8;Gtl4:192;;;;
1438;1821;;Karttuinen;;;Kartuinen;Karttorp;Lekvattnet;S;FRA:SHS;Gottlund VII:9:8;Gtl4:132;;;;
1439;1821;;Karttuinen;;;Kartuinen;Kvarntorp;Lekvattnet;S;FRA:SHS;Gottlund VII:9:8;Gtl4:131;;;;
1440;1821;;Karttuinen;;;Karttuinen;Kösstorp;Bogen;S;FRA:SHS;Gottlund VII:9:8;Gtl4:193;;;;
1441;1821;;Karttuinen;;;Karttuinen;Lusketorp;Gräsmark;S;FRA:SHS;Gottlund VII:9:8;Gtl4:177;;;;
1442;1821;;Karttuinen;;;Kartuinen;N Lekvattnet;Lekvattnet;S;FRA:SHS;Gottlund VII:9:8;Gtl4:138f,142;;;;
1443;1821;;Karttuinen;;;Karttuinen;N Runnsjötorp;Östmark;S;FRA:SHS;Gottlund VII:9:8;Gtl4:78;;;;
1444;1821;;Karttuinen;;;Karttuinen;Sorktjärn;Östmark;S;FRA:SHS;Gottlund VII:9:8;Gtl4:80;;;;
1445;1821;;Karttuinen;;;Kartuinen;Stensgårds utskog;Lekvattnet;S;FRA:SHS;Gottlund VII:9:8;Gtl4:144;;;;
1446;1821;;Karttuinen;;;Karttuinen;S Metbäcken;Östmark;S;FRA:SHS;Gottlund VII:9:8;Gtl4:92;;;;
1447;1821;;Karttuinen;;;Kartuinen;S Lekvattnet;Lekvattnet;S;FRA:SHS;Gottlund VII:9:8;Gtl4:131ff;;;;
1448;16/1700-t;;Karttuinen;;;Kartaisia;Lekvattnet;Lekvattnet;S;;;Ax1:160;;;;
1449;1746;;Kartuinen;Per;;Kortan;Omsjön;Rämmen;S;VALA:GHR:Färnebo;domb 746 ren;;MF;;;
1450;1669;;Karvainen;Henrik;;Karva; ; ;S;SKS;Gottlundiana;Gtl2:223;; ;;
1451;1695;1696;Karvainen;Erik;;Karfwe;Ny sockn utskog;Nyskoga;S;VA:Fryksdal HR;domb h695; ;JM;;;
1452;1696;;Karvainen;Erik;;Karfwe;Viggen;Nyskoga;S;VA:Älvdal HR;domb ex696;;JEB;;;
1453;1821;;Karvainen;Valborg;Eriksdotter;Karvainen;N Viggen;Nyskoga;S;SKS;Gottlundiana;Gtl2:348;;;;
1454;1821;;Karvainen;Per;;Karvainen;S Viggen;Nyskoga;S;SKS;Gottlundiana;Gtl2:229;;;;
1455;1821;;Karvainen;Per;Persen;Karvainen;Lauvhaugen;Grue Finnskog;No;SKS;Gottlundiana;Gtl2:294;;;;
1456;1821;;Karvainen;Mattis;Persen;Karvainen;Øyern;Brandval Finnskog;S;SKS;Gottlundiana;Gtl2:186;;;;
1457;1821;;Karvainen;Marit;Persdotter;Karvainen;Tysktorp;Nyskoga;S;SKS;Gottlundiana;Gtl2:229;;;;
1458;1821;;Karvainen;Henrik;Henriksson;Karvainen;S Viggen;Nyskoga;S;SKS;Gottlundiana;Gtl2:345;;;;
1459;1821;;Karvainen;Erik;Henriksson;Karvainen;Väliaho;Nyskoga;S;SKS;Gottlundiana;Gtl2:349;;;;
1460;1821;;Karvainen;Erik;Henriksson;Karvainen;Tysktorp;Nyskoga;S;SKS;Gottlundiana;Gtl2:349;;;;
1461;1821;;Karvainen;Anna;Mattisdatter;Karvainen;Viikero;Austmarka;No;SKS;Gottlundiana;Gtl2:180;;;;
1462;1821;;Karvainen;;;Karvainen;Bjurberget;S Finnskoga;S;FRA:SHS;Gottlund VII:9:8;Gtl4:51;;;;
1463;1821;;Karvainen;;;Karvainen;Karlstorpet;Grue Finnskog;No;FRA:SHS;Gottlund VII:9:8;Gtl4:123;;;;
1464;1821;;Karvainen;;;Karvainen;Lauvhaugen;Grue Finnskog;No;FRA:SHS;Gottlund VII:9:8;Gtl4:126;;;;
1465;1821;;Karvainen;;;Karvainen;Mackaretjärn;S Finnskoga;S;FRA:SHS;Gottlund VII:9:8;Gtl4:67;;;;
1466;1821;;Karvainen;;;Karvainen;Mulltjärn;Östmark;S;FRA:SHS;Gottlund VII:9:8;Gtl4:97;;;;
1467;1821;;Karvainen;;;Karvainen;N Röjdåsen;Östmark;S;FRA:SHS;Gottlund VII:9:8;Gtl4:110;;;;
1468;1821;;Karvainen;;;Karvaisia;N Viggen;Nyskoga;S;FRA:SHS;Gottlund VII:9:8;Gtl4:157,166f;;;;
1469;1821;;Karvainen;;;Karvainen;Revholtet;Grue Finnskog;No;FRA:SHS;Gottlund VII:9:8;Gtl4:123;;;;
1470;1821;;Karvainen;;;Karvainen;Röjdoset;Östmark;S;FRA:SHS;Gottlund VII:9:8;Gtl4:99;;;;
1471;1821;;Karvainen;;;Karvainen;S Röjdåsen;Östmark;S;FRA:SHS;Gottlund VII:9:8;Gtl4:92;;;;
1472;1821;;Karvainen;;;Karvainen;S Viggen;Nyskoga;S;FRA:SHS;Gottlund VII:9:8;Gtl4:155f,165f;;;;
1473;1821;;Karvainen;;;Karvainen;Tysketorpet;Grue Finnskog;No;FRA:SHS;Gottlund VII:9:8;Gtl4:129;;;;
1474;1821;;Karvainen;;;Karvainen;Viker;Austmarka;No;FRA:SHS;Gottlund VII:9:8;Gtl4:169;;;;
1475;1821;;Karvainen;;;Karvainen;Vålberget;Grue Finnskog;No;FRA:SHS;Gottlund VII:9:8;Gtl4:124;;;;
1476;1821;;Karvainen;;;Karvainen;Øyern;Brandval Finnskog;S;FRA:SHS;Gottlund VII:9:8;Gtl4:112;;;;
1477;1600-t;;Karvainen;Henrik;;Karvainen;S Viggen;Nyskoga;S;SKS;Gottlundiana;Gtl2:344;; ;;
1478;1600-t;;Karvainen;Henrik;;Karvainen;Viggen;Nyskoga;S;FRA:SHS;Gottlund VII:9:9;Gtl3:48;;;;
1479;1618;;Kasakka;Per;Sigfridsson;Kasakka;Kvarnberg;Los;X;SKS;Gottlundiana;Gtl1:145;;;;
1480;1694;;Kasakka;Erik;Tomasson;Kasakka;Kvarnberg;Los;X;SKS;Gottlundiana;Gtl1:145;;;;
1481;1817;;Kasakka;Gustaf;;Kasakka;Björkberg;Los (Hamra);X;SKS;Gottlundiana;Gtl1:152;;;;
1482;1600-t;;Kasakka;Sigfrid;Persson;Kasakka;Kvarnberg;Los;X;SKS;Gottlundiana;Gtl1:145;;;;
1483;1661;;Kauppinen;Henrik;;Cap;S Lekvattnet;Lekvattnet;S;SRA:LR:Fryksände;til 661;;JEB;;;
1484;1667;1668;Kauppinen;Mårten;;Kaupin;N Lekvattnet;Lekvattnet;S;SRA:LR:Fryksände;til 667;;JEB;;;
1485;1668; ;Kauppinen;Mårten;;Kaupin;N Lekvattnet;Lekvattnet;S;SRA:LR:Fryksände;mtl 668; ;JM/NP;;;
1486;1686;;Kauppinen;Samuel;Mortensen;Kaipin;Galåsen;Trysil;No;NRA:DK;finnemtl 686;Fm:122;;;;
1487;1694;;Kauppinen;Elias;;Kopun;;;S;VA:Fryksdal HR;domb h694; ;JM;;;
1488;1698;;Kauppinen;Olof;;Capen;Björbo;Glava;S;VA:Glava KB;db 698;;JEB;;;
1489;1699;;Kauppinen;Mårten;;Kupis;Drafsen;Säfsnäs;W;ULA:Nås TL;domb 699;;LOH;;;
1490;1702;1739;Kauppinen;Erik;Johansson;Capo;Hån;Säfsnäs;W;ULA:Nås KB;hfl 702-735;;JEB; ;;
1491;1707;;Kauppinen;Erik;Johansson;Capo;;Säfsnäs;W;ULA:Nås KB;fb 707,db 739;;LOH; ;;
1492;1710; ;Kauppinen;Erik;Johansson;Capo;;Säfsnäs;W;ULA:Nås TL;domb 708,710,730,731 ;;LOH;;;
1493;1731;1746;Kauppinen;Sigfrid;;Kapn;Gransjön;Östmark;S;VA:Fryksände KB;fb 731,732,746;;JEB,NP;;;
1494;1739; ;Kauppinen;Erik;Johansson;Capern;Fähusberget;Säfsnäs;W;ULA:Säfsnäs KB;kyrä 739;;JEB;;;
1495;1741;;Kauppinen;Sigfrid;;Kahpen;Gransjön;Östmark;S;VA:Fryksände KB;hfl 741-49;;JEB,JM,NP;;;
1496;1741;1745;Kauppinen;Per;;Kaupen;Millmarkskogen;Östmark;S;VA:Fryksände KB;hfl 741-49;;JEB,JM,NP;;;
1497;1742;;Kauppinen;Sigfrid;;Kapn;;Östmark;S;VA:Fryksände KB;fb 742;;JEB,NP;;;
1498;1742;;Kauppinen;Per;;Kauppoinen;Skalltorp;Fryksände;S;SKS;Gottlundiana;Gtl2:154;;;;
1499;1744;;Kauppinen;Per;Sigfridsson;Kapn;Svenneby skog;Fryksände;S;VA:Fryksände KB;fb 744,749;;JEB,NP;;;
1500;1745;;Kauppinen;Per;;Kapn;;Fryksände;S;VA:Fryksände KB;fb 745;;JEB,NP;;;
1501;1817;;Kauppinen;Erik;Eriksson;Kaupuinen;Flatberget;Säfsnäs;W;SKS;Gottlundiana;Gtl1:351;;;;
1502;1821;;Kauppinen;;;Kaupinen;Långsjöhöjden;Lekvattnet;S;FRA:SHS;Gottlund VII:9:8;Gtl4:142;;;;
1503;1821;;Kauppinen;;;Kaupinen;Skalltorp;Fryksände;S;FRA:SHS;Gottlund VII:9:8;Gtl4:137;;;;
1504;1821;;Kauppinen;;;Kaupinen;Skasdammen;Brandval Finnskog;S;FRA:SHS;Gottlund VII:9:8;Gtl4:117;;;;
1505;1821;;Kauppinen;;;Kaupinen;Tvärberg;Östmark;S;FRA:SHS;Gottlund VII:9:8;Gtl4:102;;;;
1506;1821;;Kauppinen;;;Kauppinen;Bredsjön;Lekvattnet;S;FRA:SHS;Gottlund VII:9:8;Gtl4:134;;;;
1507;1821;;Kauppinen;;;Kauppinen;N Lekvattnet;Lekvattnet;S;FRA:SHS;Gottlund VII:9:8;Gtl4:141;;;;
1508;1821;;Kauppinen;;;Kauppinen;Röjdoset;Östmark;S;FRA:SHS;Gottlund VII:9:8;Gtl4:99;;;;
1509;1700-t;;Kauppinen;Sigfrid;;Kauppinen;Græsberget;Brandval Finnskog;S;SKS;Gottlundiana;Gtl2:276;;;;
1510;1685;1718;Kauttoinen;Mats;Larsson;Kaut;Solberg;Ekshärad;S;VA:Älvdal HR;domb h685;;JEB;;;
1511;1686;;Kauttoinen;Mats;Larsson;Katt;Solberg;Ekshärad;S;VA:Älvdal HR;domb h686,v688;;JEB;;;
1512;1691;;Kauttoinen;Mats;;Katan;Solberg;Ekshärad;S;SRA:LR:Ekshärad;lagml 691;;JEB;;;
1513;1692;;Kauttoinen;Mats;;Kathan;Solberg;Ekshärad;S;SRA:LR:Ekshärad;lagml 692;;JEB;;;
1514;1692;;Kauttoinen;Mats;;Kautan;Solberg;Ekshärad;S;SRA:LR:Ekshärad;sak 692;;JEB;;;
1515;1692;;Kauttoinen;Mats;;Kautan;Solberg;Ekshärad;S;VA:Älvdal HR;sak 692;;JM;;;
1516;1692;;Kauttoinen;Mats;;Kauta;Solberg;Ekshärad;S;VA:Älvdal HR;domb h692;;JEB;;;
1517;1693;;Kauttoinen;Mats;;Cautan;Solberg;Ekshärad;S;SRA:LR:Ekshärad;lagml 693;;JEB;;;
1518;1693;;Kauttoinen;Mats;;Kahatan;Solberg;Ekshärad;S;SRA:LR:Ekshärad;mtl 693,711;;JM/NP;;;
1519;1694;;Kauttoinen;Mats;;Kahaten;Solberg;Ekshärad;S;SRA:LR:Ekshärad;mtl 694;;JM/NP;;;
1520;1695;;Kauttoinen;Mats;;Cauta;Solberg;Ekshärad;S;SRA:LR:Ekshärad;lagml 695,696;;JEB;;;
1521;1696;;Kauttoinen;Mats;;Cauta;Solberg;Ekshärad;S;VA:Älvdal HR;domb v696;;JEB;;;
1522;1697;;Kauttoinen;Mats;;Catan;Solberg;Ekshärad;S;SRA:LR:Ekshärad;lagml 697;;JEB;;;
